Feature,Importance
feature_4272,0.0
feature_4271,0.0
feature_4207,0.0
feature_4270,0.0
feature_4269,0.0
feature_4268,0.0
feature_4267,0.0
feature_4266,0.0
feature_4205,0.0
feature_4265,0.0
feature_4264,0.0
feature_4206,0.0
feature_4204,0.0
feature_4239,0.0
feature_4222,0.0
feature_4223,0.0
feature_4238,0.0
feature_4237,0.0
feature_4224,0.0
feature_4225,0.0
feature_4236,0.0
feature_4215,0.0
feature_4234,0.0
feature_4233,0.0
feature_4232,0.0
feature_4226,0.0
feature_4231,0.0
feature_4230,0.0
feature_4229,0.0
feature_4228,0.0
feature_4227,0.0
feature_4235,0.0
feature_122,0.0
feature_4252,0.0
feature_4251,0.0
feature_120,0.0
feature_4217,0.0
feature_4249,0.0
feature_4218,0.0
feature_4248,0.0
feature_4240,0.0
feature_4219,0.0
feature_4246,0.0
feature_4245,0.0
feature_121,0.0
feature_4244,0.0
feature_4243,0.0
feature_4242,0.0
feature_4241,0.0
feature_4221,0.0
feature_4247,0.0
feature_4342,0.0
feature_4341,0.0
feature_4340,0.0
feature_111,0.0
feature_4338,0.0
feature_112,0.0
feature_4336,0.0
feature_4335,0.0
feature_4334,0.0
feature_4333,0.0
feature_4201,0.0
feature_4331,0.0
feature_113,0.0
feature_4329,0.0
feature_4328,0.0
feature_4327,0.0
feature_114,0.0
feature_4325,0.0
feature_4324,0.0
feature_4323,0.0
feature_115,0.0
feature_4332,0.0
feature_4366,0.0
feature_4364,0.0
feature_4363,0.0
feature_4362,0.0
feature_4361,0.0
feature_4360,0.0
feature_4359,0.0
feature_4358,0.0
feature_4357,0.0
feature_4356,0.0
feature_4343,0.0
feature_4354,0.0
feature_4353,0.0
feature_4352,0.0
feature_4351,0.0
feature_4350,0.0
feature_110,0.0
feature_4348,0.0
feature_4347,0.0
feature_4346,0.0
feature_4345,0.0
feature_4344,0.0
feature_108,0.0
feature_4297,0.0
feature_4296,0.0
feature_4295,0.0
feature_4294,0.0
feature_4293,0.0
feature_4292,0.0
feature_4291,0.0
feature_4290,0.0
feature_4289,0.0
feature_4288,0.0
feature_4321,0.0
feature_4286,0.0
feature_4285,0.0
feature_4284,0.0
feature_4283,0.0
feature_4282,0.0
feature_4281,0.0
feature_119,0.0
feature_4279,0.0
feature_4278,0.0
feature_4277,0.0
feature_118,0.0
feature_4320,0.0
feature_4319,0.0
feature_4318,0.0
feature_4317,0.0
feature_4316,0.0
feature_4315,0.0
feature_4314,0.0
feature_116,0.0
feature_4312,0.0
feature_4311,0.0
feature_4298,0.0
feature_4309,0.0
feature_4308,0.0
feature_4307,0.0
feature_4306,0.0
feature_4305,0.0
feature_4304,0.0
feature_4303,0.0
feature_117,0.0
feature_4301,0.0
feature_4300,0.0
feature_4299,0.0
feature_4310,0.0
feature_4084,0.0
feature_4083,0.0
feature_4082,0.0
feature_4081,0.0
feature_4080,0.0
feature_4079,0.0
feature_4078,0.0
feature_4077,0.0
feature_4076,0.0
feature_4075,0.0
feature_4365,0.0
feature_4073,0.0
feature_4072,0.0
feature_4071,0.0
feature_4070,0.0
feature_4069,0.0
feature_4068,0.0
feature_4067,0.0
feature_4066,0.0
feature_4065,0.0
feature_4064,0.0
feature_4063,0.0
feature_4074,0.0
feature_128,0.0
feature_4106,0.0
feature_4105,0.0
feature_4104,0.0
feature_4103,0.0
feature_4102,0.0
feature_4101,0.0
feature_4100,0.0
feature_4099,0.0
feature_4098,0.0
feature_4085,0.0
feature_4096,0.0
feature_4095,0.0
feature_4094,0.0
feature_4093,0.0
feature_4092,0.0
feature_4091,0.0
feature_4090,0.0
feature_4089,0.0
feature_4088,0.0
feature_4087,0.0
feature_4086,0.0
feature_4097,0.0
feature_4038,0.0
feature_4037,0.0
feature_4036,0.0
feature_4035,0.0
feature_4034,0.0
feature_4033,0.0
feature_4032,0.0
feature_4031,0.0
feature_4030,0.0
feature_4029,0.0
feature_4062,0.0
feature_4027,0.0
feature_4026,0.0
feature_4025,0.0
feature_4024,0.0
feature_4023,0.0
feature_4022,0.0
feature_4021,0.0
feature_4020,0.0
feature_4019,0.0
feature_4018,0.0
feature_4016,0.0
feature_4028,0.0
feature_4061,0.0
feature_4060,0.0
feature_4059,0.0
feature_4058,0.0
feature_4057,0.0
feature_4056,0.0
feature_4055,0.0
feature_4054,0.0
feature_4053,0.0
feature_4052,0.0
feature_4039,0.0
feature_4050,0.0
feature_4049,0.0
feature_4048,0.0
feature_4047,0.0
feature_4046,0.0
feature_4045,0.0
feature_4044,0.0
feature_4043,0.0
feature_4042,0.0
feature_4041,0.0
feature_4040,0.0
feature_4051,0.0
feature_4176,0.0
feature_4175,0.0
feature_4174,0.0
feature_4173,0.0
feature_4172,0.0
feature_4171,0.0
feature_4170,0.0
feature_4169,0.0
feature_4168,0.0
feature_4167,0.0
feature_4108,0.0
feature_4165,0.0
feature_4164,0.0
feature_4163,0.0
feature_4162,0.0
feature_4161,0.0
feature_4160,0.0
feature_4159,0.0
feature_4158,0.0
feature_4157,0.0
feature_4156,0.0
feature_4155,0.0
feature_4166,0.0
feature_4199,0.0
feature_4198,0.0
feature_123,0.0
feature_4196,0.0
feature_4195,0.0
feature_4194,0.0
feature_4193,0.0
feature_4192,0.0
feature_4191,0.0
feature_4190,0.0
feature_4177,0.0
feature_4188,0.0
feature_4187,0.0
feature_4186,0.0
feature_4185,0.0
feature_4184,0.0
feature_124,0.0
feature_4182,0.0
feature_125,0.0
feature_4180,0.0
feature_4179,0.0
feature_4178,0.0
feature_4189,0.0
feature_4130,0.0
feature_4129,0.0
feature_4128,0.0
feature_4127,0.0
feature_4126,0.0
feature_4125,0.0
feature_4124,0.0
feature_4123,0.0
feature_4122,0.0
feature_4121,0.0
feature_4154,0.0
feature_4119,0.0
feature_4118,0.0
feature_4117,0.0
feature_4116,0.0
feature_4115,0.0
feature_4114,0.0
feature_4113,0.0
feature_4112,0.0
feature_4111,0.0
feature_4110,0.0
feature_4109,0.0
feature_4120,0.0
feature_4153,0.0
feature_4152,0.0
feature_4151,0.0
feature_4150,0.0
feature_4149,0.0
feature_4148,0.0
feature_4147,0.0
feature_4146,0.0
feature_4145,0.0
feature_4144,0.0
feature_127,0.0
feature_4142,0.0
feature_4141,0.0
feature_4140,0.0
feature_4139,0.0
feature_4138,0.0
feature_4137,0.0
feature_4136,0.0
feature_4135,0.0
feature_4134,0.0
feature_4133,0.0
feature_126,0.0
feature_4143,0.0
feature_4615,0.0
feature_4614,0.0
feature_4613,0.0
feature_4612,0.0
feature_4611,0.0
feature_4610,0.0
feature_4609,0.0
feature_4608,0.0
feature_4607,0.0
feature_4606,0.0
feature_4017,0.0
feature_4604,0.0
feature_4603,0.0
feature_4602,0.0
feature_4601,0.0
feature_4600,0.0
feature_4599,0.0
feature_4598,0.0
feature_4597,0.0
feature_4596,0.0
feature_100,0.0
feature_4605,0.0
feature_4639,0.0
feature_4638,0.0
feature_4637,0.0
feature_4636,0.0
