Feature,Importance
cat__ROUTE_12892_12758,0.0016174356
cat__ROUTE_13486_14747,0.0016149132
cat__ROUTE_10397_14869,0.0016067083
cat__ROUTE_12264_11618,0.0016059818
cat__ROUTE_11697_11618,0.0016051005
cat__ROUTE_12953_10397,0.0016012988
cat__ROUTE_14747_12889,0.001600544
cat__ROUTE_10529_11278,0.0015978332
cat__ROUTE_10599_11057,0.00159745
cat__ROUTE_11278_14321,0.0015965166
cat__ROUTE_14107_12892,0.0015948432
cat__ROUTE_11298_14492,0.0015931566
cat__ROUTE_14771_14869,0.0015930451
cat__ROUTE_14771_12173,0.0015909172
cat__ROUTE_13303_10693,0.0015893135
num__CRS_ARR_TIME,0.0015888215
cat__ROUTE_11697_14747,0.0015812797
cat__ROUTE_13487_11042,0.0015786862
cat__OP_UNIQUE_CARRIER_G4,0.0015761072
cat__ROUTE_13851_11292,0.0015758201
cat__ROUTE_14193_11057,0.0015756896
cat__ROUTE_13487_11057,0.0015745999
cat__ROUTE_11433_11292,0.0015731475
cat__ROUTE_12892_14831,0.0015718078
cat__ROUTE_12264_13204,0.0015701567
cat__ROUTE_14831_14679,0.001570124
cat__ROUTE_14747_13487,0.001565337
cat__ROUTE_11057_13487,0.0015628347
cat__ROUTE_13930_10849,0.0015510841
cat__ROUTE_10397_13232,0.0015507541
cat__ROUTE_12892_14869,0.0015456395
cat__ROUTE_12892_13830,0.0015452105
cat__ROUTE_13931_14100,0.0015433247
cat__ROUTE_12953_12191,0.0015395472
cat__ROUTE_14893_14679,0.0015353588
cat__ROUTE_13204_10397,0.0015323891
cat__ROUTE_12266_15370,0.0015233699
cat__ROUTE_13931_12953,0.0015211154
cat__ROUTE_14771_12892,0.001520592
cat__ROUTE_14747_13830,0.0015205002
cat__ROUTE_15016_13930,0.001519205
cat__ROUTE_10693_12266,0.0015122395
cat__ROUTE_11140_11298,0.0015060803
cat__ROUTE_13487_14747,0.0014995795
cat__ROUTE_13871_11298,0.001495138
cat__OP_UNIQUE_CARRIER_G7,0.001489201
cat__OP_UNIQUE_CARRIER_YV,0.0014861462
cat__ROUTE_12217_12266,0.0014860461
cat__ROUTE_10529_13204,0.0014818469
cat__ROUTE_10208_10397,0.0014811666
cat__ROUTE_11641_11057,0.001477533
cat__ROUTE_10397_10721,0.0014696786
cat__ROUTE_11193_11697,0.0014662311
cat__ROUTE_13487_13232,0.0014620287
cat__ROUTE_11259_12191,0.0014610983
cat__ROUTE_15376_12892,0.0014602387
cat__ROUTE_11057_11252,0.0014584948
cat__ROUTE_10849_11292,0.0014578002
cat__ROUTE_11278_13487,0.0014534119
cat__ROUTE_11292_10713,0.001448256
cat__ROUTE_13495_13204,0.0014374885
cat__ROUTE_11292_15370,0.001433647
cat__ROUTE_13303_14100,0.0014324458
cat__ROUTE_14679_10721,0.0014309584
cat__ROUTE_14869_10397,0.0014291492
cat__ROUTE_10994_12478,0.001425165
cat__ROUTE_11298_13930,0.0014233043
cat__ROUTE_14107_13487,0.0014224784
cat__ROUTE_11823_11057,0.0014221421
cat__ROUTE_11433_10397,0.0014169061
cat__ROUTE_10397_12266,0.0014137961
cat__ROUTE_11298_11278,0.0014127764
cat__ROUTE_14107_13891,0.0014089496
cat__ROUTE_14685_12478,0.0014086528
cat__ROUTE_13204_11298,0.0014054335
cat__ROUTE_12173_14747,0.0014043881
cat__ROUTE_13930_11337,0.0014043052
cat__ROUTE_14893_12892,0.0014037383
